0010 ,10,"0010  = ""0010 : CHOLERA D/T VIB CHOLERAE""",,,,,,,=,00
0011 ,11,"0011  = ""0011 : CHOLERA D/T VIB EL TOR""",,,,,,,=,00
0019 ,19,"0019  = ""0019 : CHOLERA NOS""",,,,,,,=,00
0020 ,20,"0020  = ""0020 : TYPHOID FEVER""",,,,,,,=,00
0021 ,21,"0021  = ""0021 : PARATYPHOID FEVER A""",,,,,,,=,00
0022 ,22,"0022  = ""0022 : PARATYPHOID FEVER B""",,,,,,,=,00
0023 ,23,"0023  = ""0023 : PARATYPHOID FEVER C""",,,,,,,=,00
024  ,24,"024   = ""024  : GLANDERS""",,,,,,,=,02
025  ,25,"025   = ""025  : MELIOIDOSIS""",,,,,,,=,02
0029 ,29,"0029  = ""0029 : PARATYPHOID FEVER NOS""",,,,,,,=,00
0030 ,30,"0030  = ""0030 : SALMONELLA ENTERITIS""",,,,,,,=,00
0031 ,31,"0031  = ""0031 : SALMONELLA SEPTICEMIA""",,,,,,,=,00
035  ,35,"035   = ""035  : ERYSIPELAS""",,,,,,,=,03
037  ,37,"037   = ""037  : TETANUS""",,,,,,,=,03
0038 ,38,"0038  = ""0038 : SALMONELLA INFECTION NEC""",,,,,,,=,00
0039 ,39,"0039  = ""0039 : SALMONELLA INFECTION NOS""",,,,,,,=,00
0040 ,40,"0040  = ""0040 : SHIGELLA DYSENTERIAE""",,,,,,,=,00
0041 ,41,"0041  = ""0041 : SHIGELLA FLEXNERI""",,,,,,,=,00
0042 ,42,"0042  = ""0042 : SHIGELLA BOYDII""",,,,,,,=,00
042  ,42,"042   = ""042  : HIV DISEASE (Begin 1994)""",,,,,,,=,04
0043 ,43,"0043  = ""0043 : SHIGELLA SONNEI""",,,,,,,=,00
0048 ,48,"0048  = ""0048 : SHIGELLA INFECTION NEC""",,,,,,,=,00
048  ,48,"048   = ""048  : OTH ENTEROVIRAL CNS DIS""",,,,,,,=,04
0049 ,49,"0049  = ""0049 : SHIGELLOSIS NOS""",,,,,,,=,00
0050 ,50,"0050  = ""0050 : STAPH FOOD POISONING""",,,,,,,=,00
0051 ,51,"0051  = ""0051 : BOTULISM""",,,,,,,=,00
0052 ,52,"0052  = ""0052 : FOOD POIS D/T C. PERFRIN""",,,,,,,=,00
0053 ,53,"0053  = ""0053 : FOOD POIS: CLOSTRID NEC""",,,,,,,=,00
0054 ,54,"0054  = ""0054 : FOOD POIS: V. PARAHAEM""",,,,,,,=,00
0058 ,58,"0058  = ""0058 : BACT FOOD POISONING NEC (End 1995)""",,,,,,,=,00
0059 ,59,"0059  = ""0059 : FOOD POISONING NOS""",,,,,,,=,00
0060 ,60,"0060  = ""0060 : AC AMEBIASIS W/O ABSCESS""",,,,,,,=,00
0061 ,61,"0061  = ""0061 : CHR AMEBIASIS W/O ABSCES""",,,,,,,=,00
061  ,61,"061   = ""061  : DENGUE""",,,,,,,=,06
0062 ,62,"0062  = ""0062 : AMEBIC NONDYSENT COLITIS""",,,,,,,=,00
0063 ,63,"0063  = ""0063 : AMEBIC LIVER ABSCESS""",,,,,,,=,00
0064 ,64,"0064  = ""0064 : AMEBIC LUNG ABSCESS""",,,,,,,=,00
064  ,64,"064   = ""064  : VIR ENCEPH ARTHROPOD NEC""",,,,,,,=,06
0065 ,65,"0065  = ""0065 : AMEBIC BRAIN ABSCESS""",,,,,,,=,00
0066 ,66,"0066  = ""0066 : AMEBIC SKIN ULCERATION""",,,,,,,=,00
0068 ,68,"0068  = ""0068 : AMEBIC INFECTION NEC""",,,,,,,=,00
0069 ,69,"0069  = ""0069 : AMEBIASIS NOS""",,,,,,,=,00
0070 ,70,"0070  = ""0070 : BALANTIDIASIS""",,,,,,,=,00
0071 ,71,"0071  = ""0071 : GIARDIASIS""",,,,,,,=,00
071  ,71,"071   = ""071  : RABIES""",,,,,,,=,07
0072 ,72,"0072  = ""0072 : COCCIDIOSIS""",,,,,,,=,00
0073 ,73,"0073  = ""0073 : INTEST TRICHOMONIASIS""",,,,,,,=,00
0074 ,74,"0074  = ""0074 : OT PROTOZ INTEST DX- CRYP (Begin 1997)""",,,,,,,=,00
0075 ,75,"0075  = ""0075 : CYCLOSPORIASIS (Begin 2000)""",,,,,,,=,00
075  ,75,"075   = ""075  : INFECTIOUS MONONUCLEOSIS""",,,,,,,=,07
0078 ,78,"0078  = ""0078 : PROTOZOAL INTEST DIS NEC""",,,,,,,=,00
0079 ,79,"0079  = ""0079 : PROTOZOAL INTEST DIS NOS""",,,,,,,=,00
0080 ,80,"0080  = ""0080 : E. COLI ENTERITIS (Begin 1980"," End 1992)""",,,,,,=,00
080  ,80,"080   = ""080  : LOUSE-BORNE TYPHUS""",,,,,,,=,08
0081 ,81,"0081  = ""0081 : ARIZONA ENTERITIS""",,,,,,,=,00
0082 ,82,"0082  = ""0082 : AEROBACTER ENTERITIS""",,,,,,,=,00
0083 ,83,"0083  = ""0083 : PROTEUS ENTERITIS""",,,,,,,=,00
0085 ,85,"0085  = ""0085 : BACTERIAL ENTERITIS NOS""",,,,,,,=,00
0086 ,86,"0086  = ""0086 : VIRAL ENTERITIS NEC (Begin 1980"," End 1992)""",,,,,,=,00
0088 ,88,"0088  = ""0088 : VIRAL ENTERITIS NOS""",,,,,,,=,00
0090 ,90,"0090  = ""0090 : INFECTIOUS ENTERITIS NOS""",,,,,,,=,00
0091 ,91,"0091  = ""0091 : ENTERITIS OF INFECT ORIG""",,,,,,,=,00
0092 ,92,"0092  = ""0092 : INFECTIOUS DIARRHEA NOS""",,,,,,,=,00
0093 ,93,"0093  = ""0093 : DIARRHEA OF INFECT ORIG""",,,,,,,=,00
096  ,96,"096   = ""096  : LATE SYPHILIS LATENT""",,,,,,,=,09
101  ,101,"101   = ""101  : VINCENT-S ANGINA""",,,,,,,=,10
118  ,118,"118   = ""118  : OPPORTUNISTIC MYCOSES""",,,,,,,=,11
124  ,124,"124   = ""124  : TRICHINOSIS""",,,,,,,=,12
129  ,129,"129   = ""129  : INTESTIN PARASITISM NOS""",,,,,,,=,12
135  ,135,"135   = ""135  : SARCOIDOSIS""",,,,,,,=,13
138  ,138,"138   = ""138  : LATE EFFECT ACUTE POLIO""",,,,,,,=,13
179  ,179,"179   = ""179  : MALIG NEOPL UTERUS NOS""",,,,,,,=,17
181  ,181,"181   = ""181  : MALIGNANT NEOPL PLACENTA""",,,,,,,=,18
185  ,185,"185   = ""185  : MALIGN NEOPL PROSTATE""",,,,,,,=,18
193  ,193,"193   = ""193  : MALIGN NEOPL THYROID""",,,,,,,=,19
0200 ,200,"0200  = ""0200 : BUBONIC PLAGUE""",,,,,,,=,02
0201 ,201,"0201  = ""0201 : CELLULOCUTANEOUS PLAGUE""",,,,,,,=,02
0202 ,202,"0202  = ""0202 : SEPTICEMIC PLAGUE""",,,,,,,=,02
0203 ,203,"0203  = ""0203 : PRIMARY PNEUMONIC PLAGUE""",,,,,,,=,02
0204 ,204,"0204  = ""0204 : SECONDARY PNEUMON PLAGUE""",,,,,,,=,02
0205 ,205,"0205  = ""0205 : PNEUMONIC PLAGUE NOS""",,,,,,,=,02
0208 ,208,"0208  = ""0208 : OTHER TYPES OF PLAGUE""",,,,,,,=,02
0209 ,209,"0209  = ""0209 : PLAGUE NOS""",,,,,,,=,02
0210 ,210,"0210  = ""0210 : ULCEROGLANDUL TULAREMIA""",,,,,,,=,02
0211 ,211,"0211  = ""0211 : ENTERIC TULAREMIA""",,,,,,,=,02
0212 ,212,"0212  = ""0212 : PULMONARY TULAREMIA""",,,,,,,=,02
0213 ,213,"0213  = ""0213 : OCULOGLANDULAR TULAREMIA""",,,,,,,=,02
217  ,217,"217   = ""217  : BENIGN NEOPLASM BREAST""",,,,,,,=,21
0218 ,218,"0218  = ""0218 : TULAREMIA NEC""",,,,,,,=,02
0219 ,219,"0219  = ""0219 : TULAREMIA NOS""",,,,,,,=,02
0220 ,220,"0220  = ""0220 : CUTANEOUS ANTHRAX""",,,,,,,=,02
220  ,220,"220   = ""220  : BENIGN NEOPLASM OVARY""",,,,,,,=,22
